Title,Year,Genre(s),IMDB,Rotten Tomatoes,Metacritic,TMDB,# of IMDB Votes,# of Awards,Gross Domestic Box Office Sales ($),Media,Origin
The Campaign,2012,Comedy,6.1,66,50,5.8,"137,984",2 wins & 4 nominations,"$86,907,746",movie,Foreign
Cloud Atlas,2012,"Drama, Mystery, Sci-Fi",7.4,66,55,6.889,"376,838",15 wins & 79 nominations,"$27,108,272",movie,Foreign
The Dark Knight Rises,2012,"Action, Drama, Thriller",8.4,87,78,7.781,"1,858,705",Nominated for 1 BAFTA Award45 wins & 103 nominations total,"$448,149,584",movie,Foreign
Dark Shadows,2012,"Comedy, Fantasy, Horror",6.2,35,55,6.075,"283,628",2 wins & 12 nominations,"$79,727,149",movie,Foreign
Django Unchained,2012,"Comedy, Drama, Western",8.5,87,81,8.181,"1,726,877",Won 2 Oscars. 58 wins & 158 nominations total,"$162,805,434",movie,Foreign
Dredd,2012,"Action, Crime, Sci-Fi",7.1,80,60,6.8,"298,926",2 wins & 14 nominations,"$13,414,714",movie,Domestic
End of Watch,2012,"Action, Crime, Drama",7.6,85,68,7.3,"272,535",3 wins & 10 nominations,"$41,003,371",movie,Foreign
The Expendables 2,2012,"Action, Adventure, Thriller",6.6,67,51,6.346,"324,850",4 wins & 5 nominations,"$85,028,192",movie,Foreign
Flight,2012,"Drama, Thriller",7.3,77,76,6.842,"380,038",Nominated for 2 Oscars. 15 wins & 45 nominations total,"$93,772,375",movie,Foreign
The Guilt Trip,2012,"Comedy, Drama",5.8,37,50,5.6,"40,854",1 nomination,"$37,134,215",movie,Foreign
Here Comes the Boom,2012,"Action, Comedy, Sport",6.4,42,40,6.2,"96,080",3 nominations,"$45,290,318",movie,Foreign
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",7.8,64,58,7.4,"885,451",Nominated for 3 Oscars. 11 wins & 76 nominations total,"$303,030,651",movie,Domestic
Hotel Transylvania,2012,"Animation, Adventure, Comedy",7.0,44,47,6.961,"287,390",2 wins & 15 nominations,"$148,313,048",movie,Foreign
Jack Reacher,2012,"Action, Mystery, Thriller",7.0,64,50,6.6,"371,839",1 win & 6 nominations,"$80,070,736",movie,Foreign
John Carter,2012,"Action, Adventure, Sci-Fi",6.6,52,51,6.3,"289,177",2 wins & 8 nominations,"$73,078,100",movie,Foreign
Killing Them Softly,2012,"Crime, Drama, Thriller",6.2,74,64,6.0,"154,835",3 wins & 9 nominations,"$15,026,056",movie,Foreign
Lawless,2012,"Biography, Crime, Drama",7.2,67,58,7.1,"255,564",1 win & 8 nominations,"$37,400,127",movie,Foreign
Life of Pi,2012,"Adventure, Drama, Fantasy",7.9,86,79,7.4,"674,077",Won 4 Oscars. 81 wins & 134 nominations total,"$124,987,023",movie,Foreign
Looper,2012,"Action, Drama, Sci-Fi",7.4,93,84,6.9,"609,278",18 wins & 47 nominations,"$66,486,205",movie,Foreign
Magic Mike,2012,"Comedy, Drama, Music",6.1,78,72,6.165,"148,610",10 wins & 14 nominations,"$113,781,613",movie,Foreign
Man on a Ledge,2012,"Action, Crime, Thriller",6.6,31,40,6.4,"159,414",1 nomination,"$18,620,000",movie,Foreign
The Man with the Iron Fists,2012,Action,5.4,51,51,5.5,"64,507",4 nominations,"$15,634,090",movie,Foreign
The Master,2012,"Drama, History",7.1,85,86,7.1,"188,284",Nominated for 3 Oscars. 75 wins & 187 nominations total,"$16,377,274",movie,Foreign
Men in Black³,2012,"Action, Adventure, Comedy",6.8,67,58,7.201,"393,323",1 win & 13 nominations,"$179,020,854",movie,Foreign
Parental Guidance,2012,"Comedy, Family",6.0,18,36,6.0,"26,933",1 win & 4 nominations,"$77,267,296",movie,Foreign
Project X,2012,Comedy,6.7,29,48,6.881,"237,630",5 nominations,"$54,731,865",movie,Foreign
Prometheus,2012,"Adventure, Mystery, Sci-Fi",7.0,73,64,6.566,"663,469",Nominated for 1 Oscar. 6 wins & 47 nominations total,"$126,477,084",movie,Domestic
Red Dawn,2012,"Action, Drama, War",5.3,15,31,6.3,"81,251",1 win & 4 nominations,"$44,806,783",movie,Foreign
Rise of the Guardians,2012,"Animation, Action, Adventure",7.2,74,58,7.4,"195,815",14 wins & 32 nominations,"$103,412,758",movie,Foreign
Savages,2012,"Action, Crime, Drama",6.4,50,59,6.354,"135,575",7 nominations,"$47,382,068",movie,Foreign
Seven Psychopaths,2012,"Comedy, Crime",7.1,83,66,6.814,"276,427",Nominated for 1 BAFTA Award3 wins & 21 nominations total,"$15,024,049",movie,Domestic
Sinister,2012,"Horror, Mystery, Thriller",6.8,63,53,6.865,"287,623",3 wins & 14 nominations,"$48,086,903",movie,Foreign
Skyfall,2012,"Action, Adventure, Thriller",7.8,92,81,7.2,"737,687",Won 2 Oscars. 69 wins & 125 nominations total,"$304,360,277",movie,Domestic
Snow White and the Huntsman,2012,"Action, Adventure, Drama",6.1,49,57,5.985,"304,869",Nominated for 2 Oscars. 13 wins & 33 nominations total,"$155,332,381",movie,Foreign
Taken 2,2012,"Action, Crime, Thriller",6.2,22,45,6.4,"326,284",1 win & 3 nominations,"$139,854,287",movie,Domestic
Ted,2012,Comedy,6.9,69,62,6.431,"666,168",Nominated for 1 Oscar. 13 wins & 28 nominations total,"$218,815,487",movie,Foreign
That's My Boy,2012,"Comedy, Drama",5.6,31/10,31,5.8,"112,026",5 wins & 10 nominations,"$36,931,089",movie,Foreign
This Is 40,2012,"Comedy, Drama, Romance",6.2,51,59,5.9,"152,594",2 wins & 11 nominations,"$67,544,505",movie,Foreign
Total Recall,2012,"Action, Adventure, Sci-Fi",6.2,31,43,6.0,"268,784",2 wins & 6 nominations,"$58,877,969",movie,Foreign
Promised Land,2012,Drama,6.6,53,55,6.3,"40,178",3 wins & 7 nominations,"$7,597,898",movie,Foreign
Wreck-It Ralph,2012,"Animation, Adventure, Comedy",7.7,87,72,7.339,"467,246",Nominated for 1 Oscar. 33 wins & 42 nominations total,"$189,422,889",movie,Foreign
Jack the Giant Slayer,2013,"Action, Adventure, Fantasy",6.3,52,51,5.843,"148,460",1 win & 4 nominations,"$65,187,603",movie,Foreign
Oz the Great and Powerful,2013,"Adventure, Family, Fantasy",6.3,57,44,5.916,"215,446",6 wins & 31 nominations,"$234,911,825",movie,Foreign
A Good Day to Die Hard,2013,"Action, Thriller",5.2,15,28,5.3,"216,739",5 wins & 8 nominations,"$67,349,198",movie,Foreign
Trance,2013,"Crime, Drama, Mystery",6.9,68,61,6.6,"118,446",3 wins & 3 nominations,"$2,328,743",movie,Domestic
Side Effects,2013,"Crime, Drama, Mystery",7.1,82,75,6.602,"198,777",5 nominations,"$32,172,757",movie,Foreign
Spring Breakers,2012,"Crime, Drama, Thriller",5.3,68,63,5.229,"150,153",14 wins & 34 nominations,"$14,124,284",movie,Foreign
The Incredible Burt Wonderstone,2013,Comedy,5.9,37,44,5.7,"76,246",1 win & 4 nominations,"$22,537,881",movie,Foreign
Disconnect,2012,"Crime, Drama, Mystery",7.5,71,64,7.1,"78,368",N/A,"$1,436,900",movie,Foreign
Mud,2012,"Adventure, Drama",7.4,97,76,7.1,"191,243",15 wins & 39 nominations,"$21,590,086",movie,Foreign
The Company You Keep,2012,"Drama, Thriller",6.4,55,57,6.2,"35,420",2 wins & 1 nomination,"$5,133,027",movie,Foreign
Olympus Has Fallen,2013,"Action, Thriller",6.5,50,41,6.4,"295,199",1 win & 5 nominations,"$98,925,640",movie,Foreign
The Place Beyond the Pines,2012,"Crime, Drama, Thriller",7.3,78,68,6.97,"293,980",5 wins & 22 nominations,"$21,403,519",movie,Foreign
G.I. Joe: Retaliation,2013,"Action, Adventure, Sci-Fi",5.7,29,41,5.6,"188,462",1 win & 12 nominations,"$122,523,060",movie,Foreign
The Croods,2013,"Animation, Adventure, Comedy",7.1,72,55,6.9,"236,143",Nominated for 1 Oscar. 5 wins & 46 nominations total,"$187,168,425",movie,Foreign
A Haunted House,2013,"Comedy, Fantasy, Horror",5.0,10,20,5.9,"50,697",1 win & 1 nomination,"$40,041,683",movie,Foreign
World War Z,2013,"Action, Adventure, Horror",7.0,67,63,6.818,"734,775",3 wins & 25 nominations,"$202,807,711",movie,Foreign
Oblivion,2013,"Action, Adventure, Sci-Fi",7.0,54,54,6.645,"559,775",1 win & 17 nominations,"$89,107,235",movie,Foreign
Ender's Game,2013,"Action, Adventure, Sci-Fi",6.6,63,51,6.6,"256,990",1 win & 6 nominations,"$61,737,191",movie,Foreign
The Hobbit: The Desolation of Smaug,2013,"Adventure, Drama, Fantasy",7.8,74,66,7.6,"716,286",Nominated for 3 Oscars. 19 wins & 90 nominations total,"$258,387,334",movie,Domestic
Man of Steel,2013,"Action, Adventure, Sci-Fi",7.1,56,55,6.627,"820,254",Nominated for 1 BAFTA Award7 wins & 46 nominations total,"$291,045,518",movie,Foreign
Pacific Rim,2013,"Action, Adventure, Sci-Fi",6.9,72,65,6.901,"537,035",Nominated for 1 BAFTA Award7 wins & 48 nominations total,"$101,802,906",movie,Foreign
The Hunger Games: Catching Fire,2013,"Action, Adventure, Sci-Fi",7.5,90,76,7.428,"731,873",22 wins & 68 nominations,"$424,668,047",movie,Foreign
The Lone Ranger,2013,"Action, Adventure, Drama",6.4,31,37,6.1,"246,290",Nominated for 2 Oscars. 6 wins & 23 nominations total,"$89,302,115",movie,Foreign
The Wolverine,2013,"Action, Sci-Fi",6.7,71,61,6.416,"502,247",2 wins & 11 nominations,"$132,556,852",movie,Foreign
Elysium,2013,"Action, Drama, Sci-Fi",6.6,64,61,6.511,"475,793",1 win & 10 nominations,"$93,050,117",movie,Foreign
After Earth,2013,"Action, Adventure, Sci-Fi",4.8,12,33,5.19,"210,897",3 wins & 8 nominations,"$60,522,097",movie,Foreign
Iron Man 3,2013,"Action, Adventure, Sci-Fi",7.1,79,62,6.929,"911,694",Nominated for 1 Oscar. 20 wins & 63 nominations total,"$409,013,994",movie,Foreign
This Is the End,2013,"Comedy, Fantasy",6.6,82,67,6.223,"438,860",10 wins & 23 nominations,"$101,470,202",movie,Foreign
R.I.P.D.,2013,"Action, Adventure, Comedy",5.6,12,25,5.834,"145,911",N/A,"$33,618,855",movie,Foreign
Thor: The Dark World,2013,"Action, Adventure, Fantasy",6.8,67,54,6.5,"734,583",4 wins & 21 nominations,"$206,362,140",movie,Foreign
Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi",7.7,84,72,7.3,"499,851",Nominated for 1 Oscar. 7 wins & 58 nominations total,"$228,778,661",movie,Foreign
Now You See Me,2013,"Crime, Mystery, Thriller",7.2,51,50,7.34,"719,175",1 win & 3 nominations,"$117,723,989",movie,Foreign
The Hangover Part III,2013,"Comedy, Crime",5.8,20,30,6.2,"340,412",2 wins & 7 nominations,"$112,200,072",movie,Foreign
Kick-Ass 2,2013,"Action, Comedy, Crime",6.5,33,41,6.401,"291,550",1 win & 9 nominations,"$28,795,985",movie,Domestic
The Lords of Salem,2012,"Horror, Thriller",5.2,47,57,5.5,"32,666",1 win & 3 nominations,"$1,165,882",movie,Domestic
Iron Sky,2012,"Action, Adventure, Comedy",5.9,41,N/A,5.7,"96,916",5 wins & 2 nominations,"$122,082",movie,Foreign
The Impossible,2012,"Drama, History, Thriller",7.5,82,73,7.365,"249,309",Nominated for 1 Oscar. 28 wins & 70 nominations total,"$19,019,882",movie,Domestic
Filly Brown,2012,"Drama, Music",5.6,42,57,,,,,,Foreign
Antiviral,2012,"Horror, Mystery, Sci-Fi",5.7,66,55,6.0,"15,726",6 wins & 12 nominations,N/A,movie,Foreign
Anna Karenina,2012,"Drama, Romance",6.6,63,63,6.7,"107,764",Won 1 Oscar. 33 wins & 54 nominations total,"$12,816,367",movie,Domestic
The Cloth,2013,"Action, Fantasy, Horror",2.3,,,,,,,,Foreign
What Richard Did,2012,Drama,6.3,91,80,5.8,"5,279",10 wins & 9 nominations,"$2,749",movie,Foreign
Stand Up Guys,2012,"Comedy, Crime, Thriller",6.4,37,41,6.0,"58,102",1 nomination,"$3,310,031",movie,Foreign
Tomorrow You're Gone,2012,Thriller,3.6,7,19,4.5,"1,853",N/A,N/A,movie,Foreign
Not Fade Away,2012,Drama,6.0,68,65,5.5,"4,967",3 wins & 3 nominations,"$610,792",movie,Foreign
Any Day Now,2012,Drama,7.4,78,60,7.0,"6,604",13 wins & 9 nominations,"$201,395",movie,Foreign
Under the Bed,2012,"Drama, Horror",4.5,45,N/A,5.0,"2,992",N/A,N/A,movie,Foreign
Outback,2012,"Animation, Adventure, Family",4.7,,,,,,,,Domestic
The Boondock Saints,1999,"Action, Crime, Thriller",7.6,26,44,7.254,"252,909",N/A,"$30,471",movie,Foreign
The Evil Dead,1981,Horror,7.4,86,71,7.3,"236,714",5 wins & 1 nomination,"$2,400,000",movie,Foreign
42,2013,"Biography, Drama, Sport",7.5,80,62,7.2,"104,020",3 wins & 21 nominations,"$95,059,709",movie,Foreign
Evil Dead,2013,Horror,6.5,63,57,6.6,"201,299",6 wins & 20 nominations,"$54,239,856",movie,Foreign
Scary Movie V,2013,"Comedy, Horror",3.5,4,11,4.803,"78,389",5 nominations,"$32,015,787",movie,Foreign
Broken City,2013,"Action, Crime, Drama",6.1,27,49,5.931,"84,014",1 win,"$19,701,164",movie,Foreign
Gangster Squad,2013,"Action, Crime, Drama",6.7,30,40,6.4,"224,148",5 nominations,"$46,000,903",movie,Foreign
Fast & Furious 6,2013,"Action, Crime, Thriller",7.0,71,61,6.8,"421,503",12 wins & 22 nominations,"$238,679,850",movie,Foreign
