Title,Year,Genre(s),IMDB,Rotten Tomatoes,Metacritic,TMDB,# of IMDB Votes,# of Awards,Gross Domestic Box Office Sales ($),Media,Origin
Surviving the Game,1994,"Action, Adventure, Crime",6.2,35,41,6.1,"13,457",1 nomination,"$7,727,256",movie,Foreign
The Big Green,1995,"Comedy, Family, Sport",5.5,0,N/A,5.5,"11,149",N/A,"$17,736,619",movie,Foreign
Jade,1995,"Crime, Drama, Thriller",5.3,16,33,5.4,"14,566",2 nominations,"$9,851,610",movie,Foreign
Kiss of Death,1995,"Crime, Drama, Thriller",5.9,69,72,5.643,"20,434",1 nomination,"$14,942,422",movie,Foreign
Maximum Risk,1996,"Action, Crime, Thriller",5.6,34,N/A,5.735,"24,309",N/A,"$14,502,483",movie,Foreign
The Truth About Cats & Dogs,1996,"Comedy, Romance",6.3,85,64,6.003,"29,302",2 nominations,"$34,861,807",movie,Foreign
Fire Down Below,1997,"Action, Drama, Thriller",5.1,14,40,5.7,"19,352",1 win & 5 nominations,"$16,228,448",movie,Foreign
For Richer or Poorer,1997,"Comedy, Romance",5.8,17,N/A,5.9,"12,177",1 nomination,"$31,642,995",movie,Foreign
Love Jones,1997,"Comedy, Drama, Romance",7.3,76,65,7.4,"5,720",2 wins & 7 nominations,"$12,479,335",movie,Foreign
The Relic,1997,"Horror, Mystery, Sci-Fi",5.8,92,55,6.0,"30,577",4 nominations,"$33,956,608",movie,Domestic
She's So Lovely,1997,"Drama, Romance",5.9,66,61,5.9,"8,805",3 wins & 4 nominations,"$7,281,450",movie,Domestic
The Sixth Man,1997,"Comedy, Drama, Fantasy",5.6,23,N/A,6.1,"6,357",N/A,"$14,772,788",movie,Foreign
Wishmaster,1997,"Fantasy, Horror",5.8,25,N/A,6.0,"26,066",3 nominations,"$15,738,769",movie,Foreign
Dance with Me,1998,"Drama, Music, Romance",5.9,51,N/A,6.9,"6,906",5 nominations,"$15,923,122",movie,Foreign
Wrongfully Accused,1998,"Action, Comedy, Thriller",6.0,18,N/A,5.9,"29,786",1 nomination,"$9,623,329",movie,Domestic
The Deep End of the Ocean,1999,Drama,6.3,42,45,6.5,"21,076",3 wins & 2 nominations,"$13,898,649",movie,Foreign
Jakob the Liar,1999,"Drama, War",6.5,29,40,6.7,"18,131",2 wins & 3 nominations,"$4,956,401",movie,Foreign
Mickey Blue Eyes,1999,"Comedy, Crime, Romance",5.9,45,49,5.7,"38,470",N/A,"$33,864,342",movie,Domestic
Music of the Heart,1999,"Drama, Music",6.7,64,54,6.7,"13,430",Nominated for 2 Oscars. 5 wins & 11 nominations total,"$14,859,394",movie,Foreign
Snow Falling on Cedars,1999,"Drama, Mystery, Romance",6.7,39,44,6.0,"14,648",Nominated for 1 Oscar. 5 wins & 11 nominations total,"$14,417,593",movie,Foreign
Wing Commander,1999,"Action, Adventure, Sci-Fi",4.3,10,21,4.8,"17,571",N/A,"$11,578,059",movie,Domestic
Black & White,1999,"Crime, Drama, Music",4.9,20,47,7.7,"6,070",N/A,"$5,277,299",movie,Foreign
Nurse Betty,2000,"Comedy, Crime, Drama",6.3,83,69,5.991,"36,400",5 wins & 14 nominations,"$25,170,054",movie,Domestic
Rugrats in Paris,2000,"Animation, Adventure, Comedy",6.2,76,62,6.6,"13,794",3 wins & 7 nominations,"$76,507,756",movie,Domestic
Max Keeble's Big Move,2001,"Comedy, Crime, Family",5.4,29,40,5.821,"8,798",1 win & 1 nomination,"$17,294,293",movie,Foreign
Monkeybone,2001,"Comedy, Fantasy",4.8,20,40,5.1,"19,365",3 nominations,"$5,411,999",movie,Foreign
Dark Blue,2002,"Crime, Drama, Thriller",6.6,58,57,6.2,"24,470",4 nominations,"$9,250,301",movie,Domestic
Rugrats Go Wild,2003,"Animation, Adventure, Comedy",5.6,40,38,6.2,"9,113",2 nominations,"$39,402,572",movie,Foreign
Agent Cody Banks 2: Destination London,2004,"Action, Adventure, Comedy",4.5,13,32,5.5,"16,128",N/A,"$23,630,159",movie,Foreign
Breakin' All the Rules,2004,"Comedy, Romance",5.6,31,46,6.1,"6,424",1 win & 5 nominations,"$12,264,319",movie,Foreign
Loverboy,2005,"Drama, Romance",5.3,18,45,5.0,"3,411",1 win,"$33,223",movie,Foreign
For Your Consideration,2006,Comedy,6.3,53,68,5.8,"16,023",3 wins & 14 nominations,"$5,549,923",movie,Foreign
Fly Me to the Moon 3D,2007,"Animation, Adventure, Family",4.5,20,36,,,,,,Domestic
Nothing Like the Holidays,2008,"Comedy, Drama, Romance",6.1,53,50,6.4,"4,722",1 win & 4 nominations,"$7,503,736",movie,Foreign
Kokoda: 39th Battalion,2006,"Action, Drama, War",6.1,71,N/A,6.2,"3,198",2 wins & 6 nominations,N/A,movie,Foreign
White Noise 2: The Light,2007,"Drama, Fantasy, Horror",5.7,75,N/A,5.5,"13,847",5 nominations,N/A,movie,Foreign
The Crow: Wicked Prayer,2005,"Action, Adventure, Comedy",3.0,0,N/A,3.8,"10,020",1 nomination,N/A,movie,Foreign
Pretty Persuasion,2005,"Comedy, Drama",6.4,33,45,5.8,"10,876",1 win & 2 nominations,"$305,800",movie,Foreign
Another Gay Sequel: Gays Gone Wild!,2008,"Comedy, Romance",4.0,23,N/A,5.8,"3,346",N/A,"$104,828",movie,Foreign
Conversations with Other Women,2005,"Comedy, Drama, Romance",6.9,74,62,6.3,"13,169",3 wins & 4 nominations,"$379,418",movie,Domestic
The Big White,2005,"Comedy, Crime, Drama",6.3,30,31,6.2,"15,377",N/A,N/A,movie,Domestic
Kabhi Alvida Naa Kehna,2006,"Drama, Romance",6.1,58,N/A,6.4,"22,137",15 wins & 40 nominations,"$3,275,444",movie,Foreign
First Snow,2006,"Drama, Thriller",6.2,58,58,6.1,"8,621",1 nomination,"$214,864",movie,Domestic
Sherrybaby,2006,Drama,6.6,66/10,66,6.1,"12,130",10 wins & 11 nominations,"$199,176",movie,Foreign
The Mysteries of Pittsburgh,2008,"Adventure, Comedy, Drama",5.4,12,38,4.1,"3,501",1 nomination,"$80,283",movie,Foreign
Elvis and Anabelle,2007,"Drama, Romance",7.1,,,,,,,,Domestic
Eating Out,2004,"Comedy, Drama, Romance",5.8,19,28,5.7,"6,441",10 wins,"$155,212",movie,Foreign
Scar,2007,"Crime, Horror, Thriller",4.1,0,N/A,4.5,"2,968",N/A,N/A,movie,Foreign
Margot at the Wedding,2007,"Comedy, Drama",6.0,51,66,5.8,"22,870",3 wins & 13 nominations,"$1,959,420",movie,Foreign
I Sell the Dead,2008,"Comedy, Horror",6.0,71,62,6.0,"11,218",1 win & 5 nominations,"$8,050",movie,Foreign
Joshua,2007,"Drama, Horror, Thriller",5.8,62,69,5.7,"13,501",5 wins & 6 nominations,"$482,355",movie,Foreign
The Killing Gene,2007,"Crime, Drama, Horror",5.7,67,N/A,5.5,"9,416",1 nomination,N/A,movie,Foreign
Mulligans,2008,"Drama, Romance",6.2,,,,,,,,Foreign
The Grand,2007,Comedy,5.9,40,57,6.0,"6,037",N/A,"$115,879",movie,Foreign
Shadowboxer,2005,"Action, Crime, Drama",5.5,17,33,5.1,"6,965",1 win & 2 nominations,"$370,627",movie,Foreign
Ladies in Lavender,2004,"Drama, Music, Romance",7.0,64,61,6.4,"12,854",3 nominations,"$6,765,081",movie,Foreign
Wicked Little Things,2006,"Drama, Fantasy, Horror",5.0,,,,,,,,Foreign
Flood,2007,"Action, Drama, Thriller",4.8,,,,,,,,Foreign
Suburban Girl,2007,"Comedy, Drama, Romance",5.4,50,N/A,5.6,"7,805",N/A,N/A,movie,Foreign
Feed,2005,"Crime, Horror, Thriller",5.3,57,N/A,5.5,"6,083",N/A,N/A,movie,Foreign
Mama's Boy,2007,"Comedy, Drama",5.1,8,N/A,4.4,"5,992",N/A,N/A,movie,Foreign
Book of Love,2004,"Comedy, Drama",5.4,,,,,,,,Foreign
Vera Drake,2004,"Crime, Drama",7.6,93,83,7.2,"27,138",Nominated for 3 Oscars. 41 wins & 45 nominations total,"$3,775,283",movie,Domestic
The Darwin Awards,2006,"Adventure, Comedy, Romance",5.9,25,N/A,5.6,"10,517",N/A,N/A,movie,Foreign
The Tracey Fragments,2007,Drama,6.0,42,54,6.0,"7,712",6 wins & 9 nominations,"$32,645",movie,Foreign
Lies and Alibis,2006,"Comedy, Drama, Romance",6.3,57,N/A,5.7,"6,466",N/A,N/A,movie,Domestic
Right at Your Door,2006,"Drama, Sci-Fi, Thriller",6.0,69,57,5.8,"14,498",1 win & 2 nominations,"$65,018",movie,Foreign
Boy Culture,2006,"Drama, Romance",6.8,70,56,6.4,"5,960",13 wins,"$220,409",movie,Foreign
Prey,2007,"Adventure, Drama, Horror",4.7,17,N/A,5.8,"8,717",N/A,N/A,movie,Foreign
Shotgun Stories,2007,"Drama, Thriller",7.1,88,76,6.9,"11,527",5 wins & 5 nominations,"$46,026",movie,Foreign
Dungeons & Dragons: Wrath of the Dragon God,2005,"Action, Adventure, Fantasy",4.6,,,,,,,,Domestic
Bella,2006,"Drama, Romance",7.1,44,47,6.4,"11,058",6 wins,"$8,070,537",movie,Foreign
All the Real Girls,2003,"Drama, Romance",6.7,71,71,5.9,"11,054",4 wins & 11 nominations,"$549,666",movie,Foreign
I Am David,2003,"Adventure, Drama",7.1,39,47,6.9,"8,225",8 wins & 1 nomination,"$288,552",movie,Domestic
Rabbits,2002,"Short, Drama, Fantasy",6.9,,,,,,,,Foreign
About Adam,2000,"Comedy, Romance",5.8,68,64,5.2,"6,828",3 nominations,"$159,668",movie,Domestic
A Walk on the Moon,1999,"Drama, Romance",6.6,73,70,6.0,"9,323",1 win & 6 nominations,"$4,750,660",movie,Foreign
Two Hands,1999,"Comedy, Crime, Thriller",7.1,75,N/A,6.6,"13,771",15 wins & 13 nominations,N/A,movie,Foreign
Close Your Eyes,2002,"Crime, Horror, Mystery",6.1,44,45,5.1,"3,253",5 wins & 2 nominations,"$41,392",movie,Foreign
The Guru,2002,"Comedy, Music, Romance",5.4,57,47,5.2,"15,550",1 nomination,"$3,095,506",movie,Domestic
Replicant,2001,"Action, Sci-Fi, Thriller",5.4,27,N/A,5.8,"15,874",2 nominations,N/A,movie,Foreign
The Slaughter Rule,2002,"Drama, Sport",5.9,74,65,5.9,"2,661",2 wins & 2 nominations,"$13,411",movie,Foreign
The Center of the World,2001,"Drama, Romance",5.8,34,44,4.9,"5,236",1 nomination,"$1,101,344",movie,Foreign
Storytelling,2001,"Comedy, Drama, Romance",6.8,54,50,6.5,"18,495",1 nomination,"$921,445",movie,Foreign
The Grey Zone,2001,"Drama, History, War",7.0,69,58,6.6,"11,551",1 win & 3 nominations,"$517,872",movie,Foreign
Tea with Mussolini,1999,"Comedy, Drama, War",6.9,65,53,6.4,"14,397",Won 1 BAFTA Award5 wins & 3 nominations total,"$14,401,563",movie,Foreign
Nine Lives,2002,"Horror, Thriller",2.3,40,N/A,3.1,"3,346",N/A,N/A,movie,Foreign
Crush,2001,"Comedy, Drama, Romance",5.7,37/10,37,5.6,"3,974",N/A,"$1,084,935",movie,Foreign
Girlfight,2000,"Drama, Sport",6.7,87,70,6.3,"11,537",15 wins & 18 nominations,"$1,565,852",movie,Foreign
The War Zone,1999,"Drama, Thriller",7.2,84,68,6.8,"11,329",9 wins & 12 nominations,"$254,441",movie,Foreign
Texas Rangers,2001,"Action, Adventure, Drama",5.2,2,29,6.071,"6,366",N/A,"$623,374",movie,Foreign
The Reckoning,2003,"Crime, Drama, Mystery",6.4,39,49,6.4,"6,467",2 nominations,"$257,252",movie,Foreign
My Family/Mi familia,1995,Drama,7.3,79,N/A,7.6,"4,558",Nominated for 1 Oscar. 3 wins & 5 nominations total,"$11,079,373",movie,Foreign
Bastard Out of Carolina,1996,Drama,7.3,100,75,7.3,"4,795",Won 1 Primetime Emmy. 6 wins & 17 nominations total,N/A,movie,Foreign
The Assignment,1997,"Action, Crime, Thriller",6.8,62,N/A,6.3,"10,136",N/A,"$332,597",movie,Foreign
Sister My Sister,1994,"Drama, Thriller",6.5,63,N/A,6.0,"3,722",7 wins & 2 nominations,"$217,881",movie,Foreign
Legionnaire,1998,"Action, Adventure, Drama",5.5,29,N/A,5.7,"26,043",1 nomination,N/A,movie,Foreign
Nowhere,1997,"Comedy, Drama, Sci-Fi",6.5,47,44,6.8,"10,540",2 nominations,"$194,201",movie,Domestic
Die Hard Dracula,1998,"Comedy, Horror",1.8,,,,,,,,Foreign
Texas Chainsaw Massacre: The Next Generation,1994,"Comedy, Horror, Thriller",3.3,16,50,,,,,,Foreign
Twelfth Night,1996,"Comedy, Drama, Romance",7.1,76,N/A,6.9,"6,500",1 win & 2 nominations,"$588,621",movie,Foreign
The Last Supper,1995,"Comedy, Crime, Drama",6.7,61,N/A,6.6,"15,871",1 win & 1 nomination,"$459,749",movie,Foreign
Santa Sangre,1989,"Drama, Horror, Thriller",7.5,87,N/A,7.1,"23,875",1 win & 9 nominations,N/A,movie,Foreign
The Thing Called Love,1993,"Comedy, Drama, Music",6.4,57,46,6.3,"8,900",N/A,"$1,029,721",movie,Foreign
Close My Eyes,1991,"Drama, Romance",6.2,67,N/A,6.0,"3,674",4 wins,"$135,893",movie,Foreign
A Midnight Clear,1992,"Drama, War",7.1,88,N/A,6.5,"9,939",1 nomination,"$1,526,697",movie,Foreign
Sleepaway Camp III: Teenage Wasteland,1989,"Comedy, Horror",5.0,20,N/A,5.4,"9,611",N/A,N/A,movie,Foreign
Gleaming the Cube,1989,"Action, Drama, Mystery",6.3,29,40,5.9,"9,198",N/A,"$2,777,280",movie,Foreign
Robot Jox,1989,"Action, Sci-Fi, Thriller",5.5,40,N/A,5.6,"7,454",1 nomination,"$1,272,977",movie,Foreign
The Cement Garden,1993,Drama,7.0,,,,,,,,Foreign
South Central,1992,"Crime, Drama",6.8,75,64,6.8,"6,837",3 nominations,"$1,373,196",movie,Foreign
The Trip to Bountiful,1985,Drama,7.4,100,81,7.3,"5,427",Won 1 Oscar. 7 wins & 6 nominations total,"$7,491,903",movie,Foreign
Meatballs III: Summer Job,1986,"Comedy, Fantasy, Romance",3.5,,,,,,,,Foreign
Mio in the Land of Faraway,1987,"Adventure, Family, Fantasy",6.3,,,,,,,,Foreign
Maurice,1987,"Drama, Romance",7.6,82,75,7.6,"24,361",Nominated for 1 Oscar. 3 wins & 2 nominations total,"$2,484,230",movie,Foreign
Radio Days,1987,Comedy,7.4,93,74,7.053,"36,707",Nominated for 2 Oscars. 3 wins & 10 nominations total,"$14,792,779",movie,Foreign
The Stuff,1985,"Comedy, Horror, Sci-Fi",5.9,73,N/A,5.9,"18,813",N/A,N/A,movie,Foreign
Mona Lisa,1986,"Crime, Drama, Romance",7.3,98,85,6.9,"19,037",Nominated for 1 Oscar. 14 wins & 14 nominations total,"$5,794,184",movie,Foreign
Used Cars,1980,Comedy,6.7,77,68,6.3,"17,068",1 nomination,"$11,715,321",movie,Foreign
Brubaker,1980,"Crime, Drama",7.1,75,54,7.1,"19,686",Nominated for 1 Oscar. 1 win & 4 nominations total,"$37,121,708",movie,Foreign
Zelig,1983,Comedy,7.6,97,N/A,7.43,"44,598",Nominated for 2 Oscars. 7 wins & 19 nominations total,"$11,798,616",movie,Foreign
The French Lieutenant's Woman,1981,"Drama, Romance",6.9,83,64,6.4,"15,328",Nominated for 5 Oscars. 11 wins & 20 nominations total,"$26,890,068",movie,Foreign
City of the Living Dead,1980,Horror,6.2,44,N/A,6.4,"19,632",N/A,N/A,movie,Foreign
Educating Rita,1983,"Comedy, Drama",7.2,82,54,6.8,"15,096",Nominated for 3 Oscars. 6 wins & 8 nominations total,"$14,648,076",movie,Foreign
The Great Muppet Caper,1981,"Adventure, Comedy, Crime",7.1,78,70,6.8,"17,036",Nominated for 1 Oscar. 2 nominations total,"$31,206,251",movie,Domestic
Merry Christmas Mr. Lawrence,1983,"Drama, War",7.2,86,53,7.3,"20,393",Won 1 BAFTA Award10 wins & 8 nominations total,"$2,306,560",movie,Foreign
The Great Train Robbery,1978,"Adventure, Crime, Drama",6.9,77,68,6.7,"19,941",1 win & 1 nomination,"$13,027,857",movie,Foreign
Trinity,,"Drama, Horror",8.4,,,,,,,,Foreign
Tracers,2015,"Action, Crime, Drama",5.6,24,45,6.0,"20,279",2 nominations,N/A,movie,Foreign
Oculus,2013,"Horror, Mystery, Thriller",6.5,75,61,6.5,"141,853",3 wins & 17 nominations,"$27,695,246",movie,Foreign
The Curse of Downers Grove,2015,"Drama, Horror, Mystery",4.4,8,31,4.8,"2,039",N/A,N/A,movie,Foreign
Born to Be King,,"Crime, Thriller",6.3,,,,,,,,Foreign
Supervixens,1975,Comedy,5.9,100,47,5.7,"5,159",N/A,N/A,movie,Foreign
Earthquake,1974,"Action, Drama, Thriller",5.9,44,56,6.1,"18,177",Won 1 Oscar. 3 wins & 7 nominations total,"$79,666,653",movie,Foreign
Deep Throat Part II,1974,"Comedy, Sci-Fi",3.6,,,,,,,,Foreign
Fantastic Planet,1973,"Animation, Sci-Fi",7.7,91,73,7.6,"37,931",1 win & 2 nominations,"$193,817",movie,Foreign
Car Wash,1976,"Comedy, Drama, Romance",6.2,86,71,6.0,"8,445",3 wins & 2 nominations,N/A,movie,Foreign
Bobby Deerfield,1977,"Drama, Romance",5.8,29,47,5.9,"4,759",1 nomination,"$9,300,000",movie,Foreign
Julia,1977,Drama,7.1,73,58,6.5,"10,393",Won 3 Oscars. 21 wins & 26 nominations total,"$20,714,400",movie,Foreign
Damnation Alley,1977,Sci-Fi,5.2,45,30,5.1,"5,961",1 nomination,N/A,movie,Foreign
3 Women,1977,"Drama, Mystery, Thriller",7.7,85,71,7.2,"17,696",Nominated for 1 BAFTA Award3 wins & 6 nominations total,N/A,movie,Foreign
The Fury,1978,"Horror, Sci-Fi, Thriller",6.3,80,64,6.3,"17,715",1 win,N/A,movie,Foreign
Nighthawks,1981,"Action, Crime, Thriller",6.3,71,56,6.4,"22,067",N/A,"$14,905,359",movie,Foreign
California Suite,1978,"Comedy, Drama, Romance",6.2,48,N/A,5.8,"8,250",Won 1 Oscar. 5 wins & 10 nominations total,"$29,000,000",movie,Foreign
Luna,1979,Drama,6.4,46,N/A,6.4,"5,497",1 win & 2 nominations,N/A,movie,Domestic
When a Stranger Calls,1979,"Horror, Mystery, Thriller",6.4,38,58,6.1,"14,557",1 win & 1 nomination,"$21,411,158",movie,Foreign
Paradise,1982,"Adventure, Romance",4.9,0,20,6.1,"2,976",1 nomination,"$5,588,800",movie,Foreign
Doctor Detroit,1983,Comedy,5.2,33,48,5.1,"6,204",N/A,"$10,375,893",movie,Foreign
Something Wicked This Way Comes,1983,"Fantasy, Mystery, Thriller",6.7,61,68,6.4,"10,894",2 wins & 7 nominations,"$8,400,000",movie,Foreign
Spring Break,1983,"Comedy, Romance",4.9,20,17,4.9,"3,574",N/A,"$24,071,666",movie,Foreign
Uncommon Valor,1983,"Action, Drama, Thriller",6.3,60,38,6.2,"11,814",N/A,"$30,503,151",movie,Foreign
Yellowbeard,1983,"Action, Adventure, Comedy",5.9,22,39,5.5,"8,651",N/A,"$4,300,000",movie,Foreign
All of Me,1984,"Comedy, Fantasy, Romance",6.7,85,68,6.5,"20,154",2 wins & 3 nominations,"$36,403,064",movie,Foreign
Amityville II: The Possession,1982,Horror,5.6,24,34,5.6,"13,141",1 nomination,"$12,534,817",movie,Domestic
Missing in Action,1984,"Action, Adventure, Drama",5.4,19,43,5.8,"16,786",N/A,"$22,812,411",movie,Foreign
Oxford Blues,1984,"Comedy, Drama, Sport",5.3,19/10,19,5.6,"3,524",N/A,"$8,793,152",movie,Foreign
Places in the Heart,1984,Drama,7.4,89,70,7.2,"13,988",Won 2 Oscars. 14 wins & 14 nominations total,"$34,901,614",movie,Foreign
Runaway,1984,"Action, Crime, Sci-Fi",5.9,46,50,5.5,"14,822",1 nomination,"$6,770,587",movie,Foreign
Jagged Edge,1985,"Drama, Mystery, Thriller",6.5,81,60,6.3,"16,794",Nominated for 1 Oscar. 4 nominations total,"$40,491,165",movie,Foreign
Porky's Revenge,1985,Comedy,4.8,25,24,5.4,"9,351",1 nomination,"$20,518,905",movie,Domestic
Prizzi's Honor,1985,"Comedy, Crime, Drama",6.7,85,84,6.4,"26,742",Won 1 Oscar. 27 wins & 25 nominations total,"$26,657,534",movie,Foreign
Pirates,1986,"Action, Adventure, Comedy",6.0,27,32,6.3,"9,628",Nominated for 1 Oscar. 2 wins & 2 nominations total,"$1,641,825",movie,Foreign
Soul Man,1986,"Comedy, Romance",5.3,17,33,5.4,"9,106",N/A,"$27,820,000",movie,Foreign
Baby Boom,1987,"Comedy, Drama, Romance",6.3,67,53,6.3,"19,409",5 nominations,"$26,712,476",movie,Foreign
The Big Easy,1986,"Comedy, Crime, Drama",6.5,89,77,6.2,"14,262",4 wins & 7 nominations,"$17,685,307",movie,Foreign
Caddyshack II,1988,"Comedy, Sport",3.8,4,7,4.2,"16,670",4 wins & 2 nominations,"$11,798,302",movie,Foreign
Friday the 13th: The New Blood,1988,"Horror, Thriller",5.2,33,13,5.4,"43,353",4 nominations,"$19,170,001",movie,Foreign
My Stepmother Is an Alien,1988,"Comedy, Sci-Fi",5.4,20,47,5.7,"28,015",4 nominations,"$13,854,000",movie,Foreign
Phantasm II,1988,"Action, Fantasy, Horror",6.4,33,42,6.2,"16,840",3 nominations,"$7,282,851",movie,Foreign
No Holds Barred,1989,"Action, Sport",4.4,10,31,4.7,"7,086",N/A,"$16,093,651",movie,Foreign
Delta Force 2: The Colombian Connection,1990,"Action, Adventure, Crime",4.9,11,N/A,5.4,"8,291",N/A,"$6,698,361",movie,Foreign
Green Card,1990,"Comedy, Drama, Romance",6.3,59,58,6.1,"26,172",Nominated for 1 Oscar. 3 wins & 4 nominations total,"$29,888,235",movie,Domestic
White Palace,1990,"Drama, Romance",6.5,50,66,6.1,"9,064",1 win & 1 nomination,"$17,487,531",movie,Foreign
The Five Heartbeats,1991,"Drama, Music",7.5,39,N/A,7.3,"4,967",1 win & 1 nomination,"$8,750,400",movie,Foreign
The Hard Way,1991,"Action, Comedy, Crime",6.4,75,N/A,6.113,"22,604",1 nomination,"$25,895,485",movie,Foreign
King Ralph,1991,"Comedy, Romance",5.4,23,N/A,5.3,"17,122",N/A,"$34,002,045",movie,Foreign
Soapdish,1991,"Comedy, Romance",6.6,74,65,6.2,"17,907",5 nominations,"$36,489,888",movie,Foreign
Dying Young,1991,"Drama, Romance",6.0,25,N/A,6.7,"17,361",3 nominations,"$33,669,178",movie,Foreign
Husbands and Wives,1992,"Comedy, Drama, Romance",7.5,93,84,7.0,"31,489",Nominated for 2 Oscars. 12 wins & 17 nominations total,"$10,555,619",movie,Foreign
Ladybugs,1992,"Comedy, Sport",5.5,14,36,5.6,"10,702",3 nominations,"$14,796,494",movie,Foreign
Sommersby,1993,"Drama, Mystery, Romance",6.3,63,N/A,6.3,"23,451",2 wins,"$50,081,992",movie,Domestic
Jason Goes to Hell,1993,"Fantasy, Horror, Thriller",4.1,16,17,4.6,"37,538",5 nominations,"$15,935,068",movie,Foreign
Only the Strong,1993,"Action, Drama",6.5,13,N/A,6.862,"7,054",N/A,"$3,283,371",movie,Domestic
Surf Ninjas,1993,"Action, Adventure, Comedy",5.0,23,N/A,5.0,"8,945",1 nomination,"$4,916,135",movie,Foreign
Weekend at Bernie's II,1993,"Adventure, Comedy, Fantasy",4.8,13,16,5.0,"14,623",1 win & 1 nomination,"$12,741,891",movie,Foreign
Double Dragon,1994,"Action, Adventure, Comedy",3.9,12,N/A,4.4,"13,979",N/A,"$2,341,309",movie,Domestic
I'll Do Anything,1994,"Comedy, Drama",5.5,67,N/A,5.6,"2,901",1 win & 2 nominations,"$10,424,645",movie,Foreign
Iron Will,1994,"Adventure, Family",6.6,67,56,6.6,"9,549",N/A,"$21,006,361",movie,Foreign
Monkey Trouble,1994,"Adventure, Comedy, Crime",5.3,55,N/A,5.7,"7,336",N/A,"$16,453,258",movie,Domestic
Forget Paris,1995,"Comedy, Romance",6.5,50,N/A,6.2,"13,174",1 win,"$33,177,694",movie,Foreign
Home for the Holidays,1995,"Comedy, Drama, Romance",6.6,64,56,6.3,"14,656",2 nominations,"$17,519,169",movie,Foreign
City Hall,1996,"Crime, Drama, Mystery",6.2,58,62,5.921,"22,667",1 nomination,"$20,340,204",movie,Foreign
Extreme Measures,1996,"Crime, Drama, Mystery",6.2,56,56,6.0,"20,908",N/A,"$17,380,126",movie,Domestic
Feeling Minnesota,1996,"Comedy, Crime, Drama",5.4,14,30,5.4,"11,629",N/A,"$3,124,440",movie,Foreign
High School High,1996,"Comedy, Crime, Romance",5.6,19,33,5.5,"14,322",N/A,"$21,302,121",movie,Foreign
Kull the Conqueror,1997,"Action, Adventure, Fantasy",4.8,25,N/A,5.1,"8,907",N/A,"$6,112,613",movie,Foreign
Metro,1997,"Action, Comedy, Crime",5.6,17,41,5.7,"29,470",1 nomination,"$32,000,301",movie,Foreign
Most Wanted,1997,"Action, Thriller",5.6,15,N/A,5.4,"6,466",1 win & 1 nomination,"$6,391,946",movie,Foreign
Dead Man on Campus,1998,Comedy,6.0,15,27,5.4,"16,402",4 nominations,"$15,064,946",movie,Foreign
How Stella Got Her Groove Back,1998,"Comedy, Drama, Romance",5.7,50,56,5.9,"8,473",4 wins & 8 nominations,"$37,672,941",movie,Foreign
At First Sight,1999,"Drama, Romance",6.0,32,40,6.0,"14,425",N/A,"$22,365,133",movie,Foreign
Three to Tango,1999,"Comedy, Romance",6.1,29,36,5.7,"20,248",N/A,"$10,570,375",movie,Domestic
Here on Earth,2000,"Drama, Romance",5.2,17,25,6.0,"8,967",2 nominations,"$10,522,168",movie,Foreign
Snow Day,2000,"Adventure, Comedy, Family",5.2,30,34,5.1,"13,824",4 nominations,"$60,020,107",movie,Foreign
The Wash,2001,Comedy,4.8,8,18,5.5,"7,740",N/A,"$10,097,538",movie,Foreign
The Powerpuff Girls Movie,2002,"Animation, Action, Adventure",6.5,63,65,6.7,"11,172",N/A,"$11,412,414",movie,Foreign
Stealing Harvard,2002,"Comedy, Crime",5.1,9,25,4.8,"13,854",1 win & 1 nomination,"$14,036,406",movie,Foreign
Alex & Emma,2003,"Comedy, Romance",5.5,11,32,5.254,"13,978",1 win & 1 nomination,"$14,218,698",movie,Foreign
Barbershop 2: Back in Business,2004,"Comedy, Drama",5.7,69,59,6.0,"16,179",2 wins & 10 nominations,"$65,111,277",movie,Foreign
Surviving Christmas,2004,"Comedy, Romance",5.5,8,19,5.7,"27,872",2 wins & 5 nominations,"$11,663,156",movie,Foreign
In the Mix,2005,"Comedy, Crime, Drama",3.0,13,31,6.2,"8,643",1 nomination,"$10,223,896",movie,Foreign
Art School Confidential,2006,"Comedy, Drama, Romance",6.3,36,54,6.123,"17,826",N/A,"$3,297,137",movie,Foreign
The Night Listener,2006,"Crime, Drama, Horror",5.9,40,51,5.5,"16,101",2 nominations,"$7,836,393",movie,Foreign
The Return,2005,"Horror, Mystery, Thriller",4.7,16,38,6.374,"12,402",N/A,"$7,749,851",movie,Foreign
The Abandoned,2006,"Horror, Mystery, Thriller",5.5,36,42,5.487,"13,353",1 nomination,"$1,653,012",movie,Foreign
The Brothers Solomon,2007,Comedy,5.3,16,32,5.0,"11,515",1 win,"$900,926",movie,Foreign
Primeval,2007,"Action, Adventure, Crime",4.8,21,35,6.0,"15,244",N/A,"$10,597,734",movie,Foreign
God Help the Girl,2014,"Drama, Music, Romance",6.4,67,58,6.6,"9,285",3 wins & 7 nominations,"$102,757",movie,Foreign
Freezing People Is Easy,,,,,,,,,,,Domestic
Loaded,2008,"Action, Crime, Drama",4.5,,,,,,,,Foreign
The Heart Is Deceitful Above All Things,2004,Drama,6.2,43,27,5.8,"7,233",1 win & 2 nominations,"$29,058",movie,Foreign
