Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
58,tt6803046,2020-05-15,2020-05-15,,"The Vast of Night","The Vast of Night",https://www.imdb.com/title/tt6803046/,Movie,6.7,91,2019,"Drama, Mystery, Sci-Fi, Thriller",46231,2020-05-29,"Andrew Patterson"
59,tt8759834,2020-05-15,2020-05-15,,"Selah and the Spades","Selah and the Spades",https://www.imdb.com/title/tt8759834/,Movie,5.1,97,2019,"Drama",1369,2020-04-17,"Tayarisha Poe"
60,tt8299768,2020-05-15,2020-05-15,,"Blow the Man Down","Blow the Man Down",https://www.imdb.com/title/tt8299768/,Movie,6.4,91,2019,"Comedy, Crime, Drama, Mystery, Thriller",12538,2020-03-20,"Bridget Savage Cole, Danielle Krudy"
61,tt2404465,2020-05-15,2020-05-15,,"Troop Zero","Troop Zero",https://www.imdb.com/title/tt2404465/,Movie,6.9,94,2019,"Comedy, Drama, Family",12404,2020-01-17,"Bertie Ellwood, Amber Templemore"
62,tt10199590,2020-05-15,2020-05-15,"French","Les Misérables","Les misérables",https://www.imdb.com/title/tt10199590/,Movie,7.6,104,2019,"Crime, Drama, Thriller",28925,2019-11-20,"Ladj Ly"
63,tt1780967,2020-05-15,2020-05-15,,"Seberg","Seberg",https://www.imdb.com/title/tt1780967/,Movie,6.0,102,2019,"Biography, Drama, Thriller",10596,2020-05-15,"Benedict Andrews"
64,tt6141246,2020-05-15,2020-05-15,,"The Aeronauts","The Aeronauts",https://www.imdb.com/title/tt6141246/,Movie,6.6,100,2019,"Action, Adventure, Drama, Romance",38234,2019-12-20,"Tom Harper"
65,tt8236336,2020-05-15,2020-05-15,,"The Report","The Report",https://www.imdb.com/title/tt8236336/,Movie,7.2,119,2019,"Biography, Crime, Drama, History, Thriller",52630,2019-11-15,"Scott Z. Burns"
66,tt8151874,2020-05-15,2020-05-15,,"Honey Boy","Honey Boy",https://www.imdb.com/title/tt8151874/,Movie,7.2,94,2019,"Drama",41492,2019-11-27,"Alma Har'el"
67,tt7671064,2020-05-15,2020-05-15,,"Brittany Runs a Marathon","Brittany Runs a Marathon",https://www.imdb.com/title/tt7671064/,Movie,6.8,104,2019,"Comedy, Drama",22714,2019-10-24,"Paul Downs Colaizzo"
68,tt6107548,2020-05-15,2020-05-15,,"Late Night","Late Night",https://www.imdb.com/title/tt6107548/,Movie,6.5,102,2019,"Comedy, Drama",41412,2019-06-14,"Nisha Ganatra"
69,tt8858104,2020-05-15,2020-05-15,,"Guava Island","Guava Island",https://www.imdb.com/title/tt8858104/,Movie,6.6,55,2019,"Comedy, Drama, Music, Musical, Thriller",11910,2019-04-13,"Hiro Murai"
70,tt7768846,2020-05-15,2020-05-15,,"Pass Over","Pass Over",https://www.imdb.com/title/tt7768846/,Movie,6.1,74,2018,"Drama",1117,2018-04-20,"Spike Lee, Danya Taymor"
