Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
75,tt7412482,2021-01-04,2021-01-04,,"The First","The First",https://www.imdb.com/title/tt7412482/,TV Series,6.6,45,2018,"Drama, Sci-Fi",8287,2018-09-14,
76,tt8050586,2021-01-04,2021-01-04,,"The Bisexual","The Bisexual",https://www.imdb.com/title/tt8050586/,TV Series,6.5,40,2018,"Comedy, Drama, Romance",1446,2018-11-16,
77,tt8602408,2021-01-04,2021-01-04,,"Holly Hobbie","Holly Hobbie",https://www.imdb.com/title/tt8602408/,TV Series,6.6,30,2018,"Drama, Family, Music",382,2018-11-16,
78,tt5056196,2021-01-04,2021-01-04,,"Catch-22","Catch-22",https://www.imdb.com/title/tt5056196/,TV Mini Series,7.7,45,2019,"Action, Comedy, Drama, Thriller, War",21192,2019-05-17,
79,tt8629150,2021-01-04,2021-01-04,,"The Weekly","The Weekly",https://www.imdb.com/title/tt8629150/,TV Series,7.2,26,2019,"News",314,2019-06-02,
80,tt8430356,2021-01-04,2021-01-04,,"This Way Up","This Way Up",https://www.imdb.com/title/tt8430356/,TV Series,7.8,25,2019,"Comedy",8448,2019-08-08,
81,tt10404664,2021-01-04,2021-01-04,,"Zomboat!","Zomboat!",https://www.imdb.com/title/tt10404664/,TV Series,7.0,24,2019,"Comedy, Horror, Sci-Fi",2275,2019-10-08,
82,tt9145372,2021-01-04,2021-01-04,,"The Accident","The Accident",https://www.imdb.com/title/tt9145372/,TV Series,6.3,43,2019,"Drama",3049,2019-10-24,
83,tt10267798,2021-01-04,2021-01-04,,"Endlings","Endlings",https://www.imdb.com/title/tt10267798/,TV Series,5.3,30,2020,"Action, Adventure, Sci-Fi",397,2020-01-17,
84,tt10193046,2021-01-04,2021-01-04,,"Utopia Falls","Utopia Falls",https://www.imdb.com/title/tt10193046/,TV Series,5.3,60,2020,"Drama, Music, Sci-Fi",2108,2020-02-14,
85,tt7411098,2021-01-04,2021-01-04,,"Baghdad Central","Baghdad Central",https://www.imdb.com/title/tt7411098/,TV Series,7.3,,2020,"Crime, Drama, History, Thriller, War",1853,2020-03-27,
86,tt9059760,2021-01-04,2021-01-04,,"Normal People","Normal People",https://www.imdb.com/title/tt9059760/,TV Mini Series,8.4,28,2020,"Drama, Romance",97671,2020-04-29,
87,tt12673630,2021-01-04,2021-01-04,,"The New York Times Presents","The New York Times Presents",https://www.imdb.com/title/tt12673630/,TV Series,6.8,50,2020,"Documentary, Biography, Crime, News",630,2020-07-10,
88,tt11714912,2021-01-04,2021-01-04,,"Madagascar: A Little Wild","Madagascar: A Little Wild",https://www.imdb.com/title/tt11714912/,TV Series,6.0,23,2020,"Animation, Adventure, Comedy, Family, Musical",291,2020-09-07,
89,tt11714946,2021-01-04,2021-01-04,,"The Mighty Ones","The Mighty Ones",https://www.imdb.com/title/tt11714946/,TV Series,6.6,22,2020,"Animation, Comedy, Family",168,2020-11-09,
90,tt8335218,2021-01-04,2021-01-04,,"No Man's Land","No Man's Land",https://www.imdb.com/title/tt8335218/,TV Series,7.8,45,2020,"Drama, Thriller, War",3661,2020-11-18,
91,tt11714932,2021-01-04,2021-01-04,,"TrollsTopia","Trolls: TrollsTopia",https://www.imdb.com/title/tt11714932/,TV Series,5.9,11,2020,"Animation, Short, Adventure, Comedy, Family, Fantasy, Musical, Romance",253,2020-11-19,
